ID,Job_Title,Estimated_Salary_in_USD,Lower_Salary_in_Thousand_$,Upper_Salary_in_Thousand_$,Avg_Salary(in 1000 USD),Job_City,Job_State,Headquarters_City,Headquaters_State,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors,Lower_Salary,Upper_Salary,Avg_Salary_in_k,company_txt,Job_Location,Age,Python,spark,aws,excel,sql_,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree,Avg_Salary_in_k,degree_new
0,Data Scientist,53K-91K,53,91,72,Albuquerque, NM,Goleta, CA,501 - 1000,1973,Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1,53,91,72,Tecolote Research,NM,24,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,data scientist,Jr,M,72,M
1,Healthcare Data Scientist,63K-112K,63,112,87.5,Linthicum, MD,Baltimore, MD,10000+,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,63,112,87.5,University of Maryland Medical System,MD,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Jr,M,87.5,M
2,Data Scientist,80K-90K,80,90,85,Clearwater, FL,Clearwater, FL,501 - 1000,2010,Private,Security Services,Business Services,$100 to $500 million (USD),-1,80,90,85,KnowBe4,FL,46,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,Jr,M,85,M
3,Data Scientist,56K-97K,56,97,76.5,Richland, WA,Richland, WA,1001 - 5000,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",56,97,76.5,PNNL,WA,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Jr,na,76.5,Fresher
4,Data Scientist,86K-143K,86,143,114.5,New York, NY,New York, NY,51 - 200,1998,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",86,143,114.5,Affinity Solutions,NY,47,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,Sr,na,114.5,M
5,Data Scientist,71K-119K,71,119,95,Dallas, TX,Dallas, TX,201 - 500,2000,Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",71,119,95,CyrusOne,TX,28,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,data scientist,Jr,na,95,P
6,Data Scientist,54K-93K,54,93,73.5,Baltimore, MD,Baltimore, MD,501 - 1000,2008,Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,54,93,73.5,ClearOne Advantage,MD,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Jr,na,73.5,Fresher
7,Data Scientist,86K-142K,86,142,114,San Jose, CA,Seattle, WA,201 - 500,2005,Private,Consulting,Business Services,$25 to $50 million (USD),-1,86,142,114,Logic20/20,CA,37,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,data scientist,Sr,M,114,M
8,Research Scientist,38K-84K,38,84,61,Rochester, NY,Rochester, NY,10000+,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,38,84,61,Rochester Regional Health,NY,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,Jr,P,61,P
9,Data Scientist,120K-160K,120,160,140,New York, NY,New York, NY,51 - 200,2009,Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",120,160,140,<intent>,NY,57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Sr,na,140,M
